"","date","base_temp"
"1",1631,2
"2",1632,5
"3",1633,2
"4",1634,2
"5",1635,1
"6",1636,1
"7",1637,0
"8",1638,1
"9",1639,0
"10",1640,1
"11",1641,1
"12",1642,3
"13",1643,1
"14",1644,156
"15",1645,1
"16",1646,3
"17",1647,75
"18",1648,2
"19",1649,29
"20",1650,4
"21",1651,4
"22",1652,5
"23",1653,2
"24",1654,91
"25",1655,8
"26",1656,98
"27",1657,6
"28",1658,16
"29",1659,30
"30",1660,28
"31",1661,37
"32",1662,112
"33",1663,6
"34",1664,2
"35",1665,42
"36",1666,93
"37",1667,145
"38",1668,61
"39",1669,133
"40",1670,54
"41",1671,5
"42",1672,90
"43",1673,5
"44",1674,70
"45",1675,129
"46",1676,119
"47",1677,16
"48",1678,18
"49",1679,21
"50",1680,19
"51",1681,18
"52",1682,24
"53",1683,16
"54",1684,16
"55",1685,16
"56",1686,20
"57",1687,19
"58",1688,19
"59",1689,78
"60",1690,16
"61",1691,21
"62",1692,18
"63",1693,18
"64",1694,17
"65",1695,73
"66",1696,22
"67",1697,212
"68",1698,128
"69",1699,29
"70",1700,34
"71",1701,38
"72",1702,38
"73",1703,39
"74",1704,41
"75",1705,41
"76",1706,34
"77",1707,32
"78",1708,31
"79",1709,132
"80",1710,59
"81",1711,133
"82",1712,157
"83",1713,71
"84",1714,120
"85",1715,124
"86",1716,138
"87",1717,148
"88",1718,149
"89",1719,146
"90",1720,145
"91",1721,202
"92",1722,188
"93",1723,149
"94",1724,134
"95",1725,63
"96",1726,51
"97",1727,40
"98",1728,43
"99",1729,44
"100",1730,41
"101",1731,48
"102",1732,42
"103",1733,52
"104",1734,94
"105",1735,193
"106",1736,128
"107",1737,177
"108",1738,173
"109",1739,180
"110",1740,143
"111",1741,219
"112",1742,158
"113",1743,138
"114",1744,155
"115",1745,85
"116",1746,296
"117",1747,349
"118",1748,300
"119",1749,292
"120",1750,252
"121",1751,52
"122",1752,250
"123",1753,170
"124",1754,134
"125",1755,96
"126",1756,226
"127",1757,335
"128",1758,199
"129",1759,188
"130",1760,320
"131",1761,293
"132",1762,347
"133",1763,647
"134",1764,531
"135",1765,597
"136",1766,641
"137",1767,473
"138",1768,585
"139",1769,672
"140",1770,636
