"","date","identifier","publisher","title"
"1","19??","https://gallica.bnf.fr/ark:/12148/cb32699739p/date","S. l.","L'Anti cafard"
"2","1913-????","https://gallica.bnf.fr/ark:/12148/cb339033288/date","","Memoria dos seus trabalhos"
"3","1854-1870","https://gallica.bnf.fr/ark:/12148/cb387197736/date","Paris, Paris","Almanach musical pour "
"4","1915-1918","https://gallica.bnf.fr/ark:/12148/cb386884277/date","","Marmita"
"5","1952-1953","https://gallica.bnf.fr/ark:/12148/cb45393119z/date","Paris","Les Échos "
"6","1918-1924","https://gallica.bnf.fr/ark:/12148/cb38725602n/date","","Artistique Revue"
"7","1860-186.","https://gallica.bnf.fr/ark:/12148/cb45382243n/date","Alger","Revue horticole de l'Algérie "
"8","1900","https://gallica.bnf.fr/ark:/12148/cb34349269z/date","Paris, Paris","Bulletins et Mémoires de la Société d'anthropologie de Paris"
"9","1964-1964","https://gallica.bnf.fr/ark:/12148/cb452696206/date","Paris","Aircup "
"10","1907","https://gallica.bnf.fr/ark:/12148/cb42768809f/date","","Bulletin paroissial "
"11","1909-1938","https://gallica.bnf.fr/ark:/12148/cb32686697n/date","Paris, Paris, Paris","Almanach de l'Action française"
"12","1915-1916","https://gallica.bnf.fr/ark:/12148/cb370153624/date","Tranchées du Vallon","La Gazette des boyaux "
"13","1998","https://gallica.bnf.fr/ark:/12148/cb45266005x/date","Paris","Rapport annuel "
"14","1953-1954","https://gallica.bnf.fr/ark:/12148/cb45393434p/date","Paris","Discutons "
"15","1915","https://gallica.bnf.fr/ark:/12148/cb386884424/date","","Poèmes de France par Paul Fort"
"16","1952","https://gallica.bnf.fr/ark:/12148/cb37574064v/date","Millerton N.Y.","Aperture "
"17","1914-19??","https://gallica.bnf.fr/ark:/12148/cb36137310t/date","","Le Petit colonial "
"18","1985-1986","https://gallica.bnf.fr/ark:/12148/cb452698066/date","Paris","Aircup "
"19","2007-2008","https://gallica.bnf.fr/ark:/12148/cb45269660f/date","Paris","Arménie infos"
"20","1840-1848","https://gallica.bnf.fr/ark:/12148/cb375838808/date","Montpellier, Paris, ","Journal de la Société de médecine pratique de Montpellier"
"21","1993-1994","https://gallica.bnf.fr/ark:/12148/cb45265577x/date","Paris","Fondation des Etats unis "
"22","1886-18..","https://gallica.bnf.fr/ark:/12148/cb43704525s/date","Shang hai, <U+4E0A><U+6D77>","Hai ti hua bao  "
"23","1928","https://gallica.bnf.fr/ark:/12148/cb38753987t/date","","L'Informateur ciné corporatif"
"24","1916-1917","https://gallica.bnf.fr/ark:/12148/cb386883974/date","","L'Argonaute"
"25","1820-1820","https://gallica.bnf.fr/ark:/12148/cb36136418m/date","","Aperçus historiques."
"26","1790-1791","https://gallica.bnf.fr/ark:/12148/cb424610091/date","","Almanach général de Saint Domingue"
"27","1860-1860","https://gallica.bnf.fr/ark:/12148/cb437886846/date","Paris, Paris, Paris","Les Contemporains "
"28","18..-18..","https://gallica.bnf.fr/ark:/12148/cb44510422h/date","Paris","Annales de sciences naturelles "
"29","1915-1915","https://gallica.bnf.fr/ark:/12148/cb361364356/date","Marseille, Toulon","Le Drapeau "
"30","1934-1936","https://gallica.bnf.fr/ark:/12148/cb45265625z/date","London","European herald"
"31","","https://gallica.bnf.fr/ark:/12148/cb365956374/date","Paris 12, rue du Vieux Colombier, 75006",""
"32","1961-1966","https://gallica.bnf.fr/ark:/12148/cb453940982/date","Paris","Bulletin des comités"
"33","1957-1961","https://gallica.bnf.fr/ark:/12148/cb45392885f/date","Paris","Bulletin intérieur "
"34","19??","https://gallica.bnf.fr/ark:/12148/cb375752639/date","La Haye, Paris","Revue de droit international et de législation comparée "
"35","1895","https://gallica.bnf.fr/ark:/12148/cb32701846m/date","Alger","L'Argus algérien"
"36","18..-18..","https://gallica.bnf.fr/ark:/12148/cb45113710h/date","Paris","Programme général des concours"
"37","1856-1865","https://gallica.bnf.fr/ark:/12148/cb32748868f/date","Paris, Paris, Paris, Paris","La Correspondance littéraire "
"38","1915-1915","https://gallica.bnf.fr/ark:/12148/cb420127847/date","France","Le Cri de Vaux "
"39","1904","https://gallica.bnf.fr/ark:/12148/cb32846157j/date","Alger","La Purée noire"
"40","1915-1918","https://gallica.bnf.fr/ark:/12148/cb328406115/date","S. l.","Les Poilus de la 9e "
"41","1996-1996","https://gallica.bnf.fr/ark:/12148/cb452659442/date","Paris","L' Afiche "
"42","1753-1757","https://gallica.bnf.fr/ark:/12148/cb43514729k/date","","Le Traducteur "
"43","1908","https://gallica.bnf.fr/ark:/12148/cb42768804q/date","","Bulletin paroissial "
"44","1915-1915","https://gallica.bnf.fr/ark:/12148/cb444156730/date","Paris","Les Imberbes "
"45","1920","https://gallica.bnf.fr/ark:/12148/cb327110605/date","London, Bruxelles, Paris, Milano, Madrid","Les Belles modes de Paris"
"46","1897-1899","https://gallica.bnf.fr/ark:/12148/cb442555031/date","Paris, Edinburgh","Revue française d'Edimbourg"
"47","1836-184.","https://gallica.bnf.fr/ark:/12148/cb451132809/date","Paris","Assemblée générale"
"48","1807-1819","https://gallica.bnf.fr/ark:/12148/cb32813915g/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Mémorial dramatique"
"49","1955","https://gallica.bnf.fr/ark:/12148/cb344421811/date","Paris",""
"50","1844-1844","https://gallica.bnf.fr/ark:/12148/cb442080578/date","Paris","Deutsch französische Jahrbücher "
"51","1788-1789","https://gallica.bnf.fr/ark:/12148/cb43847111q/date","","Cours complet d'agriculture"
"52","","https://gallica.bnf.fr/ark:/12148/btv1b55005600p","S. l.","La Fusillade crépitante et humoristique"
"53","","https://gallica.bnf.fr/ark:/12148/btv1b525012583","Le Collet de Dèze, Saint Germain de Calberte","La Cévenne coopérative "
"54","18??","https://gallica.bnf.fr/ark:/12148/cb32806295j/date","Constantinople","The Levant times and shipping gazette"
"55","1925","https://gallica.bnf.fr/ark:/12148/cb328343609/date","Genève","Pax et libertas "
"56","1821-05-20","https://gallica.bnf.fr/ark:/12148/bpt6k899628v","Cap Haytien","La Concorde"
"57","","https://gallica.bnf.fr/ark:/12148/btv1b55005604g","S. l.","Bombes et pétards"
"58","19..-19..","https://gallica.bnf.fr/ark:/12148/cb32821815x/date","Mossoul","En Nadjn"
"59","1769-1771","https://gallica.bnf.fr/ark:/12148/cb45387987d/date","","Le Porte feuille hebdomadaire"
"60","1842-1870","https://gallica.bnf.fr/ark:/12148/cb419474583/date","Strasbourg","Arrêté portant règlement général pour la culture du tabac "
"61","1811","https://gallica.bnf.fr/ark:/12148/bpt6k6526101k","","Bulletin des arrêtés"
"62","1908-1908","https://gallica.bnf.fr/ark:/12148/cb32853883h/date","Alger","Le Réveil d'Alger"
"63","1895-1902","https://gallica.bnf.fr/ark:/12148/cb43667224d/date","Saïgon","Recueil des instructions"
"64","1921-02-20","https://gallica.bnf.fr/ark:/12148/bpt6k4517748p","Angora","Agence d'Anatolie"
"65","1910-1940","https://gallica.bnf.fr/ark:/12148/cb443458103/date","Paris, Paris","Bulletin de l'Institut catholique de Paris "
"66","1907-1958","https://gallica.bnf.fr/ark:/12148/cb44376655c/date","Maroc ?","Assemblée générale ordinaire"
"67","1896-01","https://gallica.bnf.fr/ark:/12148/bpt6k1045699","Paris, Paris","Journal des voyages et des aventures de terre et de mer"
"68","194.-194.","https://gallica.bnf.fr/ark:/12148/cb43839458g/date","","Le Réveil "
"69","19??-195?","https://gallica.bnf.fr/ark:/12148/cb41270794h/date","Paris, Brazzaville","Comptes définitifs des recettes et des dépenses "
"70","19??","https://gallica.bnf.fr/ark:/12148/cb32777765h/date","Hanoi","France Hanoi"
"71","1723-1724","https://gallica.bnf.fr/ark:/12148/cb40936288w/date","","Nouvelles litteraires "
"72","1890-1910","https://gallica.bnf.fr/ark:/12148/cb327231426/date","Paris, Paris","Bulletin de la Ligue populaire pour le repos du dimanche en France"
"73","1910-1914","https://gallica.bnf.fr/ark:/12148/cb328123832/date","Alger","Mauritania"
"74","1922-10","https://gallica.bnf.fr/ark:/12148/bpt6k5600425n","Bordeaux, Lyon, Marseille","Bulletin hispanique"
"75","1650-1650","https://gallica.bnf.fr/ark:/12148/cb44323340r/date","","Le Courieer burlesque de la guerre de Bourdeaux"
"76","1930","https://gallica.bnf.fr/ark:/12148/cb32847415p/date","Casablanca","Radio marocaine"
"77","1906-12-26","https://gallica.bnf.fr/ark:/12148/bpt6k4565238b","Montreux","Barnett's continental weekly "
"78","1723-1725","https://gallica.bnf.fr/ark:/12148/cb32827164n/date","","Le Nouvelliste sans fard"
"79","1802","https://gallica.bnf.fr/ark:/12148/cb32827850w/date","Port Républicain","L'Observateur ou Gazette du Port Républicain"
