"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"1",1,"19??","https://gallica.bnf.fr/ark:/12148/cb32699739p/date","S. l.","L'Anti cafard",2,"cb32699739p",NA,"1916",NA,"1916-01-01",NA,FALSE
"2",2,"1913-????","https://gallica.bnf.fr/ark:/12148/cb339033288/date","","Memoria dos seus trabalhos",2,"cb339033288",1460,"1913","1916","1913-01-01","1916-12-31",FALSE
"3",3,"1854-1870","https://gallica.bnf.fr/ark:/12148/cb387197736/date","Paris, Paris","Almanach musical pour ",17,"cb387197736",6208,"1854","1870","1854-01-01","1870-12-31",FALSE
"4",4,"1915-1918","https://gallica.bnf.fr/ark:/12148/cb386884277/date","","Marmita",1,"cb386884277",0,"1915-01-10","1915-01-10","1915-01-10","1915-01-10",FALSE
"5",5,"1952-1953","https://gallica.bnf.fr/ark:/12148/cb45393119z/date","Paris","Les Échos ",3,"cb45393119z",609,"1952-03","1953-10","1952-03-01","1953-10-31",FALSE
"6",6,"1918-1924","https://gallica.bnf.fr/ark:/12148/cb38725602n/date","","Artistique Revue",1,"cb38725602n",0,"1918-07-20","1918-07-20","1918-07-20","1918-07-20",FALSE
"7",7,"1860-186.","https://gallica.bnf.fr/ark:/12148/cb45382243n/date","Alger","Revue horticole de l'Algérie ",1,"cb45382243n",30,"1860-01","1860-01","1860-01-01","1860-01-31",FALSE
"8",8,"1900","https://gallica.bnf.fr/ark:/12148/cb34349269z/date","Paris, Paris","Bulletins et Mémoires de la Société d'anthropologie de Paris",32,"cb34349269z",14974,"1900","1940","1900-01-01","1940-12-31",FALSE
"9",9,"1964-1964","https://gallica.bnf.fr/ark:/12148/cb452696206/date","Paris","Aircup ",1,"cb452696206",0,"1964-05-14","1964-05-14","1964-05-14","1964-05-14",FALSE
"10",10,"1907","https://gallica.bnf.fr/ark:/12148/cb42768809f/date","","Bulletin paroissial ",45,"cb42768809f",1705,"1914-06","1919-01","1914-06-01","1919-01-31",FALSE
"11",11,"1909-1938","https://gallica.bnf.fr/ark:/12148/cb32686697n/date","Paris, Paris, Paris","Almanach de l'Action française",23,"cb32686697n",9861,"1910","1936","1910-01-01","1936-12-31",FALSE
"12",12,"1915-1916","https://gallica.bnf.fr/ark:/12148/cb370153624/date","Tranchées du Vallon","La Gazette des boyaux ",1,"cb370153624",NA,NA,NA,NA,NA,FALSE
"13",13,"1998","https://gallica.bnf.fr/ark:/12148/cb45266005x/date","Paris","Rapport annuel ",18,"cb45266005x",6573,"1998","2015","1998-01-01","2015-12-31",FALSE
"14",14,"1953-1954","https://gallica.bnf.fr/ark:/12148/cb45393434p/date","Paris","Discutons ",8,"cb45393434p",211,"1953-11","1954-05","1953-11-01","1954-05-31",FALSE
"15",15,"1915","https://gallica.bnf.fr/ark:/12148/cb386884424/date","","Poèmes de France par Paul Fort",5,"cb386884424",76,"1914-12-01","1915-02-15","1914-12-01","1915-02-15",FALSE
"16",16,"1952","https://gallica.bnf.fr/ark:/12148/cb37574064v/date","Millerton N.Y.","Aperture ",1,"cb37574064v",NA,NA,NA,NA,NA,FALSE
"17",17,"1914-19??","https://gallica.bnf.fr/ark:/12148/cb36137310t/date","","Le Petit colonial ",1,"cb36137310t",NA,NA,NA,NA,NA,FALSE
"18",18,"1985-1986","https://gallica.bnf.fr/ark:/12148/cb452698066/date","Paris","Aircup ",1,"cb452698066",364,"1985","1985","1985-01-01","1985-12-31",FALSE
"19",19,"2007-2008","https://gallica.bnf.fr/ark:/12148/cb45269660f/date","Paris","Arménie infos",10,"cb45269660f",NA,"2007","2008-11","2007-01-01","2008-11-31",FALSE
"20",20,"1840-1848","https://gallica.bnf.fr/ark:/12148/cb375838808/date","Montpellier, Paris, ","Journal de la Société de médecine pratique de Montpellier",7,"cb375838808",1460,"1840","1843","1840-01-01","1843-12-31",FALSE
"21",21,"1993-1994","https://gallica.bnf.fr/ark:/12148/cb45265577x/date","Paris","Fondation des Etats unis ",5,"cb45265577x",150,"1993-11","1994-03","1993-11-01","1994-03-31",FALSE
"22",22,"1886-18..","https://gallica.bnf.fr/ark:/12148/cb43704525s/date","Shang hai, <U+4E0A><U+6D77>","Hai ti hua bao  ",1,"cb43704525s",364,"1886","1886","1886-01-01","1886-12-31",FALSE
"23",23,"1928","https://gallica.bnf.fr/ark:/12148/cb38753987t/date","","L'Informateur ciné corporatif",1,"cb38753987t",NA,NA,NA,NA,NA,FALSE
"24",24,"1916-1917","https://gallica.bnf.fr/ark:/12148/cb386883974/date","","L'Argonaute",2,"cb386883974",364,"1916-06-01","1917-05","1916-06-01","1917-05-31",FALSE
"25",25,"1820-1820","https://gallica.bnf.fr/ark:/12148/cb36136418m/date","","Aperçus historiques.",1,"cb36136418m",365,"1820","1820","1820-01-01","1820-12-31",FALSE
"26",26,"1790-1791","https://gallica.bnf.fr/ark:/12148/cb424610091/date","","Almanach général de Saint Domingue",1,"cb424610091",364,"1790","1790","1790-01-01","1790-12-31",FALSE
"27",27,"1860-1860","https://gallica.bnf.fr/ark:/12148/cb437886846/date","Paris, Paris, Paris","Les Contemporains ",1,"cb437886846",364,"1861","1861","1861-01-01","1861-12-31",FALSE
"28",28,"18..-18..","https://gallica.bnf.fr/ark:/12148/cb44510422h/date","Paris","Annales de sciences naturelles ",1,"cb44510422h",365,"1856","1856","1856-01-01","1856-12-31",FALSE
"29",29,"1915-1915","https://gallica.bnf.fr/ark:/12148/cb361364356/date","Marseille, Toulon","Le Drapeau ",1,"cb361364356",NA,NA,NA,NA,NA,FALSE
"30",30,"1934-1936","https://gallica.bnf.fr/ark:/12148/cb45265625z/date","London","European herald",1,"cb45265625z",0,"1936-05-23","1936-05-23","1936-05-23","1936-05-23",FALSE
"31",31,"","https://gallica.bnf.fr/ark:/12148/cb365956374/date","Paris 12, rue du Vieux Colombier, 75006","",3,"cb365956374",8400,"1854","1876","1854-01-01","1876-12-31",FALSE
"32",32,"1961-1966","https://gallica.bnf.fr/ark:/12148/cb453940982/date","Paris","Bulletin des comités",38,"cb453940982",NA,"1961-12","1966-02","1961-12-01","1966-02-31",FALSE
"33",33,"1957-1961","https://gallica.bnf.fr/ark:/12148/cb45392885f/date","Paris","Bulletin intérieur ",35,"cb45392885f",2283,"1955-05","1961-07","1955-05-01","1961-07-31",FALSE
"34",34,"19??","https://gallica.bnf.fr/ark:/12148/cb375752639/date","La Haye, Paris","Revue de droit international et de législation comparée ",61,"cb375752639",24469,"1869","1935","1869-01-01","1935-12-31",FALSE
"35",35,"1895","https://gallica.bnf.fr/ark:/12148/cb32701846m/date","Alger","L'Argus algérien",4,"cb32701846m",24,"1895-04-04","1895-04-28","1895-04-04","1895-04-28",FALSE
"36",36,"18..-18..","https://gallica.bnf.fr/ark:/12148/cb45113710h/date","Paris","Programme général des concours",4,"cb45113710h",25201,"1807","1875","1807-01-01","1875-12-31",FALSE
"37",37,"1856-1865","https://gallica.bnf.fr/ark:/12148/cb32748868f/date","Paris, Paris, Paris, Paris","La Correspondance littéraire ",9,"cb32748868f",2942,"1856-11-05","1864-11-25","1856-11-05","1864-11-25",FALSE
"38",38,"1915-1915","https://gallica.bnf.fr/ark:/12148/cb420127847/date","France","Le Cri de Vaux ",1,"cb420127847",NA,NA,NA,NA,NA,FALSE
