"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"54",54,"18??","https://gallica.bnf.fr/ark:/12148/cb32806295j/date","Constantinople","The Levant times and shipping gazette",414,"cb32806295j",2003,"1869-01-04","1874-06-30","1869-01-04","1874-06-30",TRUE
"155",155,"1940-1942","https://gallica.bnf.fr/ark:/12148/cb32683684k/date","Paris","Agence française d'information de presse",341,"cb32683684k",2182,"1936-02-08","1942-01-29","1936-02-08","1942-01-29",TRUE
"192",192,"1894-1899","https://gallica.bnf.fr/ark:/12148/cb327724853/date","Hanoï","L'Extrême Orient ",525,"cb327724853",1960,"1894-06-03","1899-10-15","1894-06-03","1899-10-15",TRUE
"232",232,"1802-1803","https://gallica.bnf.fr/ark:/12148/cb32827798m/date","A Paris, de l'Imprimerie des anciennes Petites affiches, rue Neuve S. Augustin, maison de la Correspondance nationale et étrangère. [20 février 8 octobre 1802]   Des imprimeries des frères Chaignieau, propriétaires et éditeurs, rue de la Monnaie, n°. 27, vis à vis la rue Boucher, près le Pont Neuf, et rue André des Arts, n°. 97. [9 octobre 1802 4 juin 1803]","L'Observateur des spectacles",297,"cb32827798m",444,"1802-02-20","1803-05-10","1802-02-20","1803-05-10",TRUE
"234",234,"1846-1866","https://gallica.bnf.fr/ark:/12148/cb32797343h/date","Constantinople","Journal de Constantinople",689,"cb32797343h",3429,"1846-08-11","1855-12-31","1846-08-11","1855-12-31",TRUE
"251",251,"1932","https://gallica.bnf.fr/ark:/12148/cb32878872g/date","Grand Bassam","Le Trait d'union",65,"cb32878872g",456,"1932-09-05","1933-12-05","1932-09-05","1933-12-05",TRUE
"269",269,"1916","https://gallica.bnf.fr/ark:/12148/cb327794864/date","Tiflis","Gagap<U+0315>ar  ",128,"cb327794864",398,"1916-02-21","1917-03-25","1916-02-21","1917-03-25",TRUE
"279",279,"1951-1954","https://gallica.bnf.fr/ark:/12148/cb32732413d/date","Saïgon","Bulletin officiel du Haut commissariat de France en Indochine",160,"cb32732413d",1092,"1952-01-03","1954-12-30","1952-01-03","1954-12-30",TRUE
"327",327,"1911-1911","https://gallica.bnf.fr/ark:/12148/cb32747565b/date","Constantinople","La Constitution ",943,"cb32747565b",1159,"1908-09-22","1911-11-25","1908-09-22","1911-11-25",TRUE
"456",456,"1925-1934","https://gallica.bnf.fr/ark:/12148/cb32744289s/date","Haïphong","Le Colon français républicain",514,"cb32744289s",2165,"1929-01-01","1934-12-06","1929-01-01","1934-12-06",TRUE
"462",462,"1776-1792","https://gallica.bnf.fr/ark:/12148/cb32750381j/date","Imprimé à Londres au profit des propriétaires, par E. Cox, No. 73, Great Queen street Lincoln's Inn Fields... [1776 1792]","Le Courier de l'Europe",1481,"cb32750381j",5416,"1776-08-29","1791-06-28","1776-08-29","1791-06-28",TRUE
"467",467,"1895-1910","https://gallica.bnf.fr/ark:/12148/cb32798884q/date","Salonique","Journal de Salonique ",1612,"cb32798884q",5491,"1895-11-07","1910-11-20","1895-11-07","1910-11-20",TRUE
"468",468,"1825-1955","https://gallica.bnf.fr/ark:/12148/cb34447990d/date","Paris","Gazette des tribunaux ",5952,"cb34447990d",38163,"1851-06-30","1955-12-25","1851-06-30","1955-12-25",TRUE
"485",485,"1958-1962","https://gallica.bnf.fr/ark:/12148/cb328493434/date","Alger","Recueil des actes administratifs de la Délégation générale du Gouvernement en Algérie ",415,"cb328493434",1432,"1958-07-29","1962-06-30","1958-07-29","1962-06-30",TRUE
"583",583,"1886-1943","https://gallica.bnf.fr/ark:/12148/cb32710201z/date","Bastia","Bastia Journal ",12737,"cb32710201z",14134,"1886-04-20","1924-12-31","1886-04-20","1924-12-31",TRUE
"585",585,"1843-1846","https://gallica.bnf.fr/ark:/12148/cb32797344v/date","Constantinople","Journal de Constantinople et des intérêts orientaux  ",144,"cb32797344v",1009,"1843-10-21","1846-07-26","1843-10-21","1846-07-26",TRUE
"614",614,"184?-1963","https://gallica.bnf.fr/ark:/12148/cb32759772v/date","Oran","L'Écho d'Oran ",14598,"cb32759772v",31774,"1870-01-01","1956-12-30","1870-01-01","1956-12-30",TRUE
"621",621,"1900","https://gallica.bnf.fr/ark:/12148/cb32762544k/date","Constantine","L'Echo du soir",1783,"cb32762544k",8511,"1900-06-10","1923-09-29","1900-06-10","1923-09-29",TRUE
"623",623,"1910-1943","https://gallica.bnf.fr/ark:/12148/cb32771891w/date","Paris","Excelsior ",10645,"cb32771891w",11900,"1910-11-16","1943-06-16","1910-11-16","1943-06-16",TRUE
"627",627,"1884-1905","https://gallica.bnf.fr/ark:/12148/cb32772372g/date","Boulogne sur Mer","L'Express du Nord et du Pas de",6010,"cb32772372g",6967,"1886-06","1905-06-29","1886-06-01","1905-06-29",TRUE
