"","X","date","nb_temp","base_temp","ratio_temp","hovers"
"1300",1300,1300,0,16,0,"1300: N = 16"
"1301",1301,1301,0,1,0,"1301: N = 1"
"1302",1302,1302,0,0,NA,"1302: N = 0"
"1303",1303,1303,0,0,NA,"1303: N = 0"
"1304",1304,1304,0,0,NA,"1304: N = 0"
"1305",1305,1305,0,0,NA,"1305: N = 0"
"1306",1306,1306,0,1,0,"1306: N = 1"
"1307",1307,1307,0,0,NA,"1307: N = 0"
"1308",1308,1308,0,0,NA,"1308: N = 0"
"1309",1309,1309,0,0,NA,"1309: N = 0"
"1310",1310,1310,0,0,NA,"1310: N = 0"
"1311",1311,1311,0,0,NA,"1311: N = 0"
"1312",1312,1312,0,2,0,"1312: N = 2"
"1313",1313,1313,0,0,NA,"1313: N = 0"
"1314",1314,1314,0,0,NA,"1314: N = 0"
"1315",1315,1315,0,0,NA,"1315: N = 0"
"1316",1316,1316,0,1,0,"1316: N = 1"
"1317",1317,1317,0,1,0,"1317: N = 1"
"1318",1318,1318,0,1,0,"1318: N = 1"
"1319",1319,1319,0,1,0,"1319: N = 1"
"1320",1320,1320,0,0,NA,"1320: N = 0"
"1321",1321,1321,0,0,NA,"1321: N = 0"
"1322",1322,1322,0,0,NA,"1322: N = 0"
"1323",1323,1323,0,0,NA,"1323: N = 0"
"1324",1324,1324,0,0,NA,"1324: N = 0"
"1325",1325,1325,0,0,NA,"1325: N = 0"
"1326",1326,1326,0,1,0,"1326: N = 1"
"1327",1327,1327,0,0,NA,"1327: N = 0"
"1328",1328,1328,0,0,NA,"1328: N = 0"
"1329",1329,1329,0,1,0,"1329: N = 1"
"1330",1330,1330,0,0,NA,"1330: N = 0"
"1331",1331,1331,0,0,NA,"1331: N = 0"
"1332",1332,1332,0,1,0,"1332: N = 1"
"1333",1333,1333,0,0,NA,"1333: N = 0"
"1334",1334,1334,0,1,0,"1334: N = 1"
"1335",1335,1335,0,2,0,"1335: N = 2"
"1336",1336,1336,0,2,0,"1336: N = 2"
"1337",1337,1337,0,0,NA,"1337: N = 0"
"1338",1338,1338,0,0,NA,"1338: N = 0"
"1339",1339,1339,0,1,0,"1339: N = 1"
"1340",1340,1340,0,0,NA,"1340: N = 0"
"1341",1341,1341,0,2,0,"1341: N = 2"
"1342",1342,1342,0,0,NA,"1342: N = 0"
"1343",1343,1343,0,0,NA,"1343: N = 0"
"1344",1344,1344,0,0,NA,"1344: N = 0"
"1345",1345,1345,0,2,0,"1345: N = 2"
"1346",1346,1346,0,1,0,"1346: N = 1"
"1347",1347,1347,0,1,0,"1347: N = 1"
"1348",1348,1348,0,1,0,"1348: N = 1"
"1349",1349,1349,0,1,0,"1349: N = 1"
"1350",1350,1350,0,0,NA,"1350: N = 0"
"1351",1351,1351,0,1,0,"1351: N = 1"
"1352",1352,1352,0,0,NA,"1352: N = 0"
"1353",1353,1353,0,0,NA,"1353: N = 0"
"1354",1354,1354,0,1,0,"1354: N = 1"
"1355",1355,1355,0,0,NA,"1355: N = 0"
"1356",1356,1356,0,1,0,"1356: N = 1"
"1357",1357,1357,0,0,NA,"1357: N = 0"
"1358",1358,1358,0,1,0,"1358: N = 1"
"1359",1359,1359,0,0,NA,"1359: N = 0"
"1360",1360,1360,0,0,NA,"1360: N = 0"
"1361",1361,1361,0,0,NA,"1361: N = 0"
"1362",1362,1362,0,2,0,"1362: N = 2"
"1363",1363,1363,0,1,0,"1363: N = 1"
"1364",1364,1364,0,1,0,"1364: N = 1"
"1365",1365,1365,0,0,NA,"1365: N = 0"
"1366",1366,1366,0,0,NA,"1366: N = 0"
"1367",1367,1367,0,1,0,"1367: N = 1"
"1368",1368,1368,0,4,0,"1368: N = 4"
"1369",1369,1369,0,0,NA,"1369: N = 0"
"1370",1370,1370,0,0,NA,"1370: N = 0"
"1371",1371,1371,0,0,NA,"1371: N = 0"
"1372",1372,1372,0,0,NA,"1372: N = 0"
"1373",1373,1373,0,0,NA,"1373: N = 0"
"1374",1374,1374,0,0,NA,"1374: N = 0"
"1375",1375,1375,0,0,NA,"1375: N = 0"
"1376",1376,1376,0,0,NA,"1376: N = 0"
"1377",1377,1377,0,3,0,"1377: N = 3"
"1378",1378,1378,0,0,NA,"1378: N = 0"
"1379",1379,1379,0,0,NA,"1379: N = 0"
"1380",1380,1380,0,1,0,"1380: N = 1"
"1381",1381,1381,0,0,NA,"1381: N = 0"
"1382",1382,1382,0,0,NA,"1382: N = 0"
"1383",1383,1383,0,1,0,"1383: N = 1"
"1384",1384,1384,0,0,NA,"1384: N = 0"
"1385",1385,1385,0,0,NA,"1385: N = 0"
"1386",1386,1386,0,0,NA,"1386: N = 0"
"1387",1387,1387,0,0,NA,"1387: N = 0"
"1388",1388,1388,0,1,0,"1388: N = 1"
"1389",1389,1389,0,0,NA,"1389: N = 0"
"1390",1390,1390,0,0,NA,"1390: N = 0"
"1391",1391,1391,0,0,NA,"1391: N = 0"
"1392",1392,1392,0,0,NA,"1392: N = 0"
"1393",1393,1393,0,0,NA,"1393: N = 0"
"1394",1394,1394,0,0,NA,"1394: N = 0"
"1395",1395,1395,0,0,NA,"1395: N = 0"
