;date;nb_temp;base_temp;ratio_temp
1;1631;0;2;0
2;1632;0;5;0
3;1633;0;2;0
4;1634;0;2;0
5;1635;0;1;0
6;1636;0;1;0
7;1637;0;0;NA
8;1638;0;1;0
9;1639;0;0;NA
10;1640;0;1;0
11;1641;0;1;0
12;1642;0;3;0
13;1643;0;1;0
14;1644;0;156;0
15;1645;0;1;0
16;1646;0;3;0
17;1647;0;75;0
18;1648;0;2;0
19;1649;0;29;0
20;1650;0;4;0
21;1651;0;4;0
22;1652;0;5;0
23;1653;0;2;0
24;1654;0;91;0
25;1655;0;8;0
26;1656;0;98;0
27;1657;0;6;0
28;1658;0;16;0
29;1659;0;30;0
30;1660;0;28;0
31;1661;0;37;0
32;1662;0;112;0
33;1663;0;6;0
34;1664;0;2;0
35;1665;0;42;0
36;1666;0;93;0
37;1667;0;145;0
38;1668;0;61;0
39;1669;0;133;0
40;1670;0;54;0
41;1671;0;5;0
42;1672;0;90;0
43;1673;0;5;0
44;1674;0;70;0
45;1675;0;129;0
46;1676;0;119;0
47;1677;0;16;0
48;1678;0;18;0
49;1679;0;21;0
50;1680;0;19;0
51;1681;0;18;0
52;1682;0;24;0
53;1683;0;16;0
54;1684;0;16;0
55;1685;0;16;0
56;1686;0;20;0
57;1687;0;19;0
58;1688;0;19;0
59;1689;0;78;0
60;1690;0;16;0
61;1691;0;21;0
62;1692;0;18;0
63;1693;0;18;0
64;1694;0;17;0
65;1695;0;73;0
66;1696;0;22;0
67;1697;0;212;0
68;1698;0;128;0
69;1699;0;29;0
70;1700;0;34;0
71;1701;0;38;0
72;1702;0;38;0
73;1703;0;39;0
74;1704;0;41;0
75;1705;0;41;0
76;1706;0;34;0
77;1707;0;32;0
78;1708;0;31;0
79;1709;0;132;0
80;1710;0;59;0
81;1711;0;133;0
82;1712;0;157;0
83;1713;0;71;0
84;1714;0;120;0
85;1715;0;124;0
86;1716;0;138;0
87;1717;0;148;0
88;1718;0;149;0
89;1719;0;146;0
90;1720;0;145;0
91;1721;0;202;0
92;1722;0;188;0
93;1723;0;149;0
94;1724;0;134;0
95;1725;0;63;0
96;1726;0;51;0
97;1727;0;40;0
98;1728;0;43;0
99;1729;0;44;0
100;1730;0;41;0
101;1731;0;48;0
102;1732;0;42;0
103;1733;0;52;0
104;1734;0;94;0
105;1735;0;193;0
106;1736;0;128;0
107;1737;0;177;0
108;1738;0;173;0
109;1739;0;180;0
110;1740;0;143;0
111;1741;0;219;0
112;1742;0;158;0
113;1743;0;138;0
114;1744;0;155;0
115;1745;0;85;0
116;1746;0;296;0
117;1747;0;349;0
118;1748;0;300;0
119;1749;0;292;0
120;1750;0;252;0
121;1751;0;52;0
122;1752;0;250;0
123;1753;0;170;0
124;1754;0;134;0
125;1755;0;96;0
126;1756;0;226;0
127;1757;0;335;0
128;1758;0;199;0
129;1759;0;188;0
130;1760;0;320;0
131;1761;0;293;0
132;1762;0;347;0
133;1763;0;647;0
